PUBCHEM_SID	PUBCHEM_CID
144204788	11957572
144204789	10314472
144204790	55305
144204791	23704140
144204792	11957593
144204793	104762
144204794	28767
144204795	60662
144204796	9082
144204797	135242
144204798	6433339
144204799	6081
144204800	21467
144204801	21467
144204802	54685925
144204803	6420042
144204804	16219744
144204805	441350
144204806	3074827
144204807	11957635
144204808	8667
144204809	84605
144204810	5358907
144204811	11957654
144204812	65341
144204813	442291
144204814	5281064
144204815	6603980
144204816	11957669
144204817	9279
144204818	7550
144204819	66245
144204820	22475
144204821	71077
144204822	56801
144204823	123015
144204824	5311064
144204825	9899402
144204826	66007
144204827	6434250
144204828	66069
144204829	5702285
144204830	11957707
144204831	3060974
144204832	73093
144204833	5946
144204834	27944
144204835	443951
144204836	11647992
144204837	11957725
144204838	167980
144204839	115227
144204840	60196275
144204841	6420041
144204842	2871
144204843	5216
144204844	3120
144204845	4685
144204846	727
144204847	6434889
144204848	2075
144204849	4767
144204850	86418
144204851	36324
144204852	3352
144204853	1990
144204854	33613
144204855	33613
144204856	1201549
144204857	20933
144204858	2723
144204859	5959
144204860	46224595
144204861	3023
144204862	21653
144204863	65326
144204864	12560
144204865	13791
144204866	102428
144204867	2723635
144204868	23702555
144204869	3718
144204870	6883
144204871	11333
144204872	6279
144204873	23678596
144204874	4511
144204875	6230
144204876	83823
144204877	160157
144204878	4753
144204879	60196276
144204880	5755
144204881	5834
144204882	5458213
144204883	5146
144204884	16684434
144204885	31307
144204886	44134533
144204887	60196278
144204888	16220118
144204889	1985
144204890	443101
144204891	2453
144204892	9794197
144204893	3362
144204894	5702132
144204895	15376
144204896	198015
144204897	439174
144204898	60196279
144204899	3723
144204900	2122
144204901	190
144204902	442021
144204903	92806
144204904	5702162
144204905	443311
144204906	3083802
144204907	5702167
144204908	33254
144204909	4059
144204910	1984
144204911	5143
144204912	9818306
144204913	92965
144204914	656630
144204915	70912
144204916	2581
144204917	44561
144204918	25195407
144204919	93095
144204920	23663974
144204921	5773
144204922	6780
144204923	2197
144204924	124886
144204925	2345
144204926	11545
144204927	3092
144204928	2149
144204929	2741
144204930	2005
144204931	657306
144204932	5763
144204933	102678
144204934	54891
144204935	43261
144204936	7027
144204937	72139
144204938	5702220
144204939	60196280
144204940	6136
144204941	14520
144204942	2799
144204943	66377
144204944	10969
144204945	5281613
144204946	5284557
144204947	161803
144204948	5284439
144204949	6426773
144204950	26133
144204951	5641
144204952	5453
144204953	5424
144204954	5334
144204955	4842
144204956	3316
144204957	5198
144204958	9941647
144204959	5055
144204960	23703990
144204961	9578507
144204962	3032818
144204963	14710
144204964	443958
144204965	5037
144204966	5447
144204967	32798
144204968	5284537
144204969	66061
144204970	4747
144204971	1269845
144204972	3365
144204973	73111
144204974	5284623
144204975	16129778
144204976	6806
144204977	66070
144204978	5656
144204979	123608
144204980	51040
144204981	15459
144204982	5284534
144204983	5090
144204984	16667700
144204985	5311309
144204986	3749
144204987	77999
144204988	3961
144204989	441314
144204990	5284600
144204991	119607
144204992	101526
144204993	60560
144204994	5362123
144204995	3324
144204996	150311
144204997	123606
144204998	130881
144204999	5282242
144205000	5284633
144205001	64764
144205002	16114800
144205003	5486699
144205004	13789
144205005	65999
144205006	5484727
144205007	3002190
144205008	60857
144205009	5353472
144205010	71815
144205011	119525
144205012	134601
144205013	5042
144205014	60196281
144205015	56207
144205016	666418
144205017	2577
144205018	18087
144205019	3599
144205020	9556529
144205021	442872
144205022	54360
144205023	4236
144205024	5732
144205025	5284627
144205026	9588170
144205027	16759173
144205028	5486971
144205029	9881626
144205030	4679
144205031	60699
144205032	74990
144205033	16667738
144205034	5362436
144205035	23725082
144205036	10206
144205037	5475
144205038	6708773
144205039	6293
144205040	9377
144205041	107770
144205042	69301
144205043	1549992
144205044	86472
144205045	6975516
144205046	5746
144205047	2722
144205048	12305761
144205049	470999
144205050	60196282
144205051	5388983
144205052	60198
144205053	16315
144205054	2817
144205055	5323714
144205056	3058754
144205057	68093
144205058	969516
144205059	60196284
144205060	94154
144205061	5318517
144205062	440936
144205063	26447
144205064	790
144205065	10712
144205066	179651
144205067	222284
144205068	3681
144205069	588
144205070	23677058
144205071	197066
144205072	6674
144205073	14982
144205074	64782
144205075	6021
144205076	6738
144205077	20054942
144205078	60496
144205079	3515
144205080	5284507
144205081	5358
144205082	6436173
144205083	28523
144205084	441082
144205085	3747
144205086	5281227
144205087	5078
144205088	146571
144205089	24773
144205090	5002
144205091	8609
144205092	222786
144205093	64715
144205094	9855548
144205095	71777
144205096	73357
144205097	20055083
144205098	294641
144205099	5282521
144205100	23714647
144205101	5161
144205102	454937
144205103	60196285
144205104	17513
144205105	2734952
144205106	23681107
144205107	5388977
144205108	4737
144205109	4585
144205110	5280489
144205111	676166
144205112	6037
144205113	5789
144205114	1050
144205115	5816
144205116	131204
144205117	86472
144205118	63047
144205119	25234023
144205120	2712
144205121	2712
144205122	5734
144205123	115366
144205124	25051
144205125	4616
144205126	8364
144205127	124087
144205128	64710
144205129	13769
144205130	50942
144205131	5280795
144205132	6024
144205133	60464
144205134	27661
144205135	64139
144205136	19648
144205137	23663400
144205138	73339
144205139	73339
144205140	15232
144205141	33741
144205142	443831
144205143	174174
144205144	1549008
144205145	9885981
144205146	13109
144205147	6057
144205148	5997
144205149	23894
144205150	444254
144205151	93009
144205152	11876263
144205153	8271
144205154	4506
144205155	8633
144205156	854026
144205157	5284557
144205158	11313
144205159	67406
144205160	31264
144205161	31264
144205162	2682
144205163	8221
144205164	12620
144205165	1110
144205166	6989
144205167	2707
144205168	7814
144205169	7456
144205170	7393
144205171	60962
144205172	7187
144205173	16666
144205174	16846
144205175	6982
144205176	61574
144205177	6518
144205178	9568512
144205179	9568512
144205180	40326
144205181	6282
144205182	5977
144205183	68310
144205184	25495
144205185	61002
144205186	61002
144205187	12478
144205188	12478
144205189	8522
144205190	23706212
144205191	9677
144205192	19988
144205193	12305037
144205194	3487
